Begin_Date,Title,Company,Station,Epesodes,Character_count,Character_count_no_space
10/6/14,甘城ブリリアントパーク,京都アニメーション,TBS,13,11,11
10/7/14,暁のヨナ,ぴえろ,TOKYO MX、AT-X,24,4,4
10/7/14,トリニティセブン,セブン・アークス・ピクチャーズ,TX,12,8,8
10/8/14,ガンダムビルドファイターズトライ,サンライズ,TX,25,16,16
10/8/14,Hi☆sCoool! セハガール,トムス・エンタテインメント、ジーニーズ,ANIMAX,13,16,15
10/8/14,大図書館の羊飼い,フッズエンタテインメント、Felix Film,TOKYO MX,12,8,8
10/8/14,棺姫のチャイカ AVENGING BATTLE,ボンズ,TOKYO MX,10,23,21
10/8/14,寄生獣 セイの格率,マッドハウス,NTV,24,9,8
10/9/14,SHIROBAKO,P.A.WORKS,TOKYO MX,24,9,9
10/9/14,PSYCHO-PASS サイコパス 2,タツノコプロ,CX,11,19,17
10/9/14,四月は君の嘘,A-1 Pictures,CX,22,6,6
10/9/14,俺、ツインテールになります。,プロダクションアイムズ,TBS,12,14,14
10/10/14,ナノ・インベーダーズ,JIUBAO ANIMATION（日中合作）,BSジャパン,52,10,10
10/11/14,山賊の娘ローニャ,ポリゴン・ピクチュアズ,NHK BSプレミアム,26,8,8
10/12/14,ガールフレンド（仮）,SILVER LINK.,TX,12,10,10
10/16/14,結城友奈は勇者である,Studio五組,MBS,12,10,10
10/18/14,蟲師 続章（第2期）,アニメーションスタジオ・アートランド,TOKYO MX,10,10,9
10/19/14,ぐらP&ろで夫,Pie in the sky,BSフジ、TOKYO MX,62,7,7
10/26/14,カードファイト!! ヴァンガードG,トムス・エンタテインメント,TX,48,17,16
11/2/14,Bonjour♪恋味パティスリー,SILVER LINK.、CONNECT,AT-X,24,16,16
12/3/14,接続無用,MMDGP,TOKYO MX,26,4,4
1/3/15,探偵歌劇 ミルキィホームズ TD,J.C.STAFF、ノーマッド,TOKYO MX,12,16,14
1/4/15,アブソリュート・デュオ,エイトビット,AT-X・独立局ほか,12,11,11
1/4/15,みんな集まれ!ファルコム学園SC,キャラアニ、ダックスプロダクション,独立局,12,16,16
1/5/15,うわばきクック,,YTV,13,7,7
1/5/15,ドアマイガーD,ILCA,KBS・tvk,13,7,7
1/6/15,ユリ熊嵐,SILVER LINK.,MBS,13,4,4
1/6/15,神様はじめました◎,トムス・エンタテインメント,TX,12,9,9
1/6/15,キュートランスフォーマー 帰ってきたコンボイの謎,DLE,TOKYO MX,13,24,23
1/7/15,美男高校地球防衛部LOVE!,ディオメディア,TX,12,14,14
1/7/15,みりたり!,Creators in Pack,AT-X・独立局ほか,12,5,5
1/8/15,艦隊これくしょん -艦これ-,ディオメディア,独立局ほか,12,14,13
1/8/15,新妹魔王の契約者,プロダクションアイムズ,TOKYO MX,12,8,8
1/8/15,血液型くん!2,Assez Finaud Fabric.、feel.,独立局,12,7,7
1/8/15,ぱんきす!2次元,DLE,BS11,24,8,8
1/9/15,東京喰種トーキョーグール√A,ぴえろ,独立局ほか,12,14,14
1/9/15,冴えない彼女の育てかた,A-1 Pictures,CX・KTV,12,11,11
1/9/15,幸腹グラフィティ,シャフト,TBS,12,8,8
1/9/15,銃皇無尽のファフニール,ディオメディア,TBS,12,11,11
1/9/15,蒼穹のファフナー EXODUS（第1期）,XEBECzwei,MBS,13,20,19
1/10/15,アイドルマスター シンデレラガールズ（第1期）,A-1 Pictures,独立局ほか,13,23,22
1/10/15,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,david production,TOKYO MXほか,24,30,28
1/10/15,暗殺教室（第1期）,Lerche,CX・KTV・BSフジ,22,9,9
1/10/15,デス・パレード,マッドハウス,NTV,12,7,7
1/10/15,少年ハリウッド -HOLLY STAGE FOR 50-,ZEXCS,AT-X・独立局ほか,13,28,24
1/10/15,デュラララ!!×2 承,朱夏,MBS,12,11,10
1/11/15,アルドノア・ゼロ（第2期）,A-1 Pictures、TROYCA,TOKYO MX・BS11・ABC,12,13,13
1/11/15,"DOG DAYS""",セブン・アークス・ピクチャーズ,独立局ほか,12,9,8
1/11/15,ローリング☆ガールズ,WIT STUDIO,MBS,12,10,10
1/11/15,黒子のバスケ（第3期）,Production I.G,BS11（※MBS製作協力）,25,11,11
1/11/15,夜ノヤッターマン,タツノコプロ,独立局ほか,12,8,8
1/11/15,純潔のマリア,Production I.G,独立局ほか,12,6,6
1/12/15,聖剣使いの禁呪詠唱,ディオメディア,TX,12,9,9
1/12/15,戦国無双,TYOアニメーションズ、手塚プロダクション,TX,12,4,4
1/24/15,ISUCA,アームス,TOKYO MX,10,5,5
2/1/15,Go!プリンセスプリキュア,東映アニメーション,ABC,50,13,13
3/15/15,トランスフォーマー アドベンチャー,ポリゴン・ピクチュアズ,ANIMAX,26,17,16
3/30/15,グッド・モーニング!!!ドロンジョ,ODDJOB,NTV,243,17,17
